WARNING	name	OSFid	stat.ori.string	stat.ori.type	stat.ori.N	stat.ori.N.recalc	stat.ori.df1	stat.ori.df2	stat.ori.ncp.p	alpha.ori	stat.ori.ncp	stat.ori.ncp.ciL	stat.ori.ncp.ciU	stat.ori.ncp.ci.type	stat.ori.crit	stat.ori.ncp.p.recalc	prediction.ori	stat.ori.crit.p	stat.ori.H0	stat.ori.H1	stat.ori.decideNP	ES.ori.type	ES.ori.value	ES.ori.value.recalc	ES.ori.d	ES.ori.d.ciL	ES.ori.d.ciU	ES.ori.r	ES.ori.r.ciL	ES.ori.r.ciU	aprioriPOW.ori	posthocPOW.ori	aprioriSEV.ori	posthocSEV.ori	stat.rep.string	stat.rep.type	stat.rep.N	stat.rep.N.recalc	stat.rep.df1	stat.rep.df2	stat.rep.ncp.p	alpha.rep	stat.rep.ncp	stat.rep.ncp.ciL	stat.rep.ncp.ciU	stat.rep.ncp.ci.type	stat.rep.crit	stat.rep.ncp.p.recalc	prediction.rep	stat.rep.crit.p	stat.rep.H0	stat.rep.H1	stat.rep.decideNP	ES.rep.type	ES.rep.value	ES.rep.value.recalc	ES.rep.d	ES.rep.d.ciL	ES.rep.d.ciU	ES.rep.r	ES.rep.r.ciL	ES.rep.r.ciU	aprioriPOW.rep	posthocPOW.rep	aprioriSEV.rep	posthocSEV.rep
1	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Semantic interference in a delayed naming task: Evidence for the response exclusion hypothesis.	https://osf.io/uhpyr/	F(1,31)=4.1	F	32	0	1	31	0.0516	0.05	4.1	NA	13.7426132953899	asymmetric	4.15961509803175	0.051569634441853	greater	0.95	TRUE	FALSE	Accept H0	d	0.74	NA	0.72734603736084	NA	1.3316307390608	0.341773487574909	NA	0.554209530358854	unknown	0.055858696370399	unknown	0	F1(1,90)=.97	F	91	0	1	90	0.33	0.05	0.97	NA	6.91636880171739	asymmetric	3.94687573068052	0.327320512874555	greater	0.95	TRUE	FALSE	Accept H0	η_p^2	0.011	0	0.207632153365299	NA	0.554431392478111	0.103261105390926	NA	0.267140973703408	0.935	0.0500000000000002	unknown	0
2	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Intentional forgetting is easier after two shots than one.	https://osf.io/bzdr2/	F(1,94)=4.97	F	96	0	1	94	0.0282	0.05	4.97	NA	17.7174248161273	symmetric	3.94230333820181	0.028172411609088	greater	0.95	FALSE	TRUE	Reject H0	η^2	0.05	NA	0.459879725256645	NA	0.86829313650347	0.224092029190534	NA	0.398235380137302	unknown	0.0503317363106521	unknown	0	F(1,106)=0.04	F	108	0	1	106	0.84	0.05	0.04	NA	2.33401174046353	asymmetric	3.93069190236006	0.841863774866171	greater	0.95	TRUE	FALSE	Accept H0	η_p^2	4.0E-4	0	0.0388514344942906	NA	0.296775866159081	0.0194220530544791	NA	0.146780750921832	0.916	0.0500000000000003	unknown	0
3	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.	https://osf.io/xse7q/	F(1,90)=6.98	F	94	0	1	90	0.0097	0.05	6.98	0.390950047155567	21.4591355049702	symmetric	3.94687573068052	0.009719762100178	greater	0.95	FALSE	TRUE	Reject H0	η^2	0.07	NA	0.556975961978811	0.131816378539841	0.976595799589807	0.268278964521451	0.0657655050126933	0.438781467130343	unknown	0.0511240260245625	unknown	0	F(1,142)=1.26	F	146	0	1	142	0.26	0.05	1.26	NA	7.66466633011236	asymmetric	3.90778170454773	0.263545465476018	greater	0.95	TRUE	FALSE	Accept H0	η^2	0.01	0	0.188395747686828	NA	0.464656963582794	0.0937827145210083	NA	0.22630126714004	0.9	0.0500000000000003	unknown	0
4	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	The value of believing in free will: Encouraging a belief in determinism increases cheating.	https://osf.io/i29mh/	t(28)=3.04	t	30	0	28	NA	0.0051	0.05	3.04	0.902515190491109	5.1308112506361	symmetric	2.04840714179524	0.00254345224438401	not equal	0.975	FALSE	TRUE	Reject H0	d	0.88	NA	1.14901199794805	0.341118678356794	1.93926437045649	NA	0.168131358726811	0.696121865161202	unknown	0.123927497755673	unknown	0	t(56)=-.77	t	58	0	56	NA	0.44	0.05	-0.77	-2.73170916378498	1.19853405689674	symmetric	-2.00324071884787	0.22226801792009	not equal	0.025	TRUE	FALSE	Accept H0	d	0.2	0	-0.205791156272567	-0.730079983656724	0.320321700520558	NA	0.342907337520447	0.158145360800961	0.91	0.117763933704642	unknown	0
5	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Multidimensional visual statistical learning.	https://osf.io/ujhlw/	t(7)=2.892	t	8	0	7	NA	0.0232	0.05	2.892	0.370301098376512	5.28818695349758	symmetric	2.36462425159278	0.011624894258583	not equal	0.975	FALSE	TRUE	Reject H0	d	1.023	NA	2.18614651188537	0.279921319005233	3.99749359010597	NA	0.138609632635081	0.894315016605935	unknown	0.922501909638046	unknown	0	t(14)=3.708	t	15	0	14	NA	0.002	0.05	3.708	1.27781797292582	6.04938971022317	symmetric	2.1447866879178	0.00116998309649796	not equal	0.975	FALSE	TRUE	Reject H0	d	0.957	0	1.98200937002254	0.683022436764344	3.23353481353297	NA	0.323184367521226	0.850466606736157	0.95	0.931064653044571	unknown	0
6	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Multiple roles for time in short-term memory: Evidence from serial recall of order and timing.	https://osf.io/swrhy/	F(4.09,159.5)=4.03	F	40	0	4.09	159.5	0.004	0.05	4.03	1.97660380770154	33.0178788639444	symmetric	2.41176451137338	0.00359115298217805	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.09	NA	0.642930204337067	0.450268037860204	1.84028840968192	0.306040701520685	0.219636639662886	0.677114001237521	unknown	0.0635500167620493	unknown	0	F(5,195)=2.54	F	40	0	5	195	0.03	0.05	2.54	NA	25.8252672485921	symmetric	2.26040621300451	0.029729843905734	greater	0.95	FALSE	TRUE	Reject H0	η_p^2	0.061	0	0.510404565528974	NA	1.62749665401498	0.247276936825489	NA	0.631175676629325	0.95	0.0499999999999998	unknown	0
7	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Prescribed optimism: Is it right to be wrong about the future?	https://osf.io/qlzap/	t(124)=10.36	t	127	0	124	NA	1e-12	0.05	10.36	7.99981029465794	12.6904445087896	symmetric	1.97928011660484	0	not equal	0.975	FALSE	TRUE	Reject H0	d	0.93	NA	1.86071092899739	1.43680834412894	2.27927111885519	NA	0.583450840217126	0.75165457684886	unknown	1	unknown	0	t(175)=15.64	t	177	0	175	NA	1e-12	0.05	15.64	13.072547910139	18.1802502703667	symmetric	1.97361246195438	0	not equal	0.975	FALSE	TRUE	Reject H0	d	1.18	0	2.36454574314573	1.97638347269742	2.748595485046	NA	0.70289473739734	0.808593120404897	>.99	1	unknown	0
8	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	The threat of appearing prejudiced and race-based attentional biases.	https://osf.io/c5fza/	F(1,26)=4.17	F	30	0	1	26	0.0514	0.05	4.17	NA	13.9298465955498	asymmetric	4.22520127312749	0.051411614372429	greater	0.95	TRUE	FALSE	Accept H0	d	0.8	NA	0.800960961307392	NA	1.46391711595714	0.371775162736088	NA	0.590642027208985	unknown	0.0563086516350741	unknown	0	F(1,64)=.02	F	66	0	1	64	0.89	0.05	0.02	NA	1.62423987195547	asymmetric	3.99092377174028	0.887981300920703	greater	0.95	TRUE	FALSE	Accept H0	η^2	0	0	0.0353553390593274	NA	0.318614174193831	0.0176749080410067	NA	0.157323261287962	0.91	0.0500000000000002	unknown	0
9	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.	https://osf.io/j8bpa/	F(2,82)=4.05	F	85	0	2	82	0.021	0.05	4.05	0.10048457769382	22.1855095431368	symmetric	3.10789130153727	0.021020910231567	greater	0.95	FALSE	TRUE	Reject H0	η^2	0.09	NA	0.62858726619262	0.0990119863124837	1.47120357375449	0.299833472093746	0.0494454387233453	0.59255130351999	unknown	0.0521702684681371	unknown	0	F(2,137)=1.99	F	140	0	2	137	0.14	0.05	1.99	NA	11.9407212861183	asymmetric	3.06220440324004	0.140627311270678	greater	0.95	TRUE	FALSE	Accept H0	η^2	0.03	0	0.340887634803675	NA	0.835025985385894	0.168020697371943	NA	0.385280742886526	0.9	0.05	unknown	0
10	MISSING TEST INFO: prediction:directed/undirected, samples:dependent/independent/equalN/equalVar, factor:Nlevels/between/within, effect:interaction/main/planned contrast/random/fixed, posthoc: yes/no/correction	Keeping one's distance: The influence of spatial distance cues on affect and evaluation.	https://osf.io/vnsqg/	F(2,81)=4.97	F	84	0	2	81	0.0092	0.05	4.97	0.644280002238314	25.3883186609818	symmetric	3.10931054749716	0.009205932683653	greater	0.95	FALSE	TRUE	Reject H0	η^2	0.11	NA	0.700617012019309	0.252255015438069	1.5835050561375	0.330609795734198	0.125136093294545	0.62074432480461	unknown	0.0237530104075536	unknown	0	F(1,123)=0.35	F	125	0	1	123	0.56	0.05	0.35	NA	4.8936950895135	asymmetric	3.91817750804391	0.555198906584317	greater	0.95	TRUE	FALSE	Accept H0	η^2	0.0030	0	0.106686989933816	NA	0.398929261594755	0.0532677613388653	NA	0.195611275802292	0.945	0.0499999999999998	unknown	0
